Temps;Canal A
(ms);(V)

-41,73210004;-0,17728840
-41,71959604;-0,17728840
-41,70709204;-0,19500490
-41,69458804;-0,19500490
-41,68208404;-0,21272150
-41,66958004;-0,21272150
-41,65707604;-0,23049950
-41,64457204;-0,23049950
-41,63206804;-0,23049950
-41,61956404;-0,24821600
-41,60706004;-0,23049950
-41,59455604;-0,24821600
-41,58205205;-0,26593260
-41,56954805;-0,26593260
-41,55704405;-0,26593260
-41,54454005;-0,28364910
-41,53203605;-0,28364910
-41,51953205;-0,30136560
-41,50702805;-0,30136560
-41,49452405;-0,31914370
-41,48202005;-0,33686020
-41,46951605;-0,33686020
-41,45701205;-0,35457680
-41,44450805;-0,35457680
-41,43200405;-0,37229330
-41,41950005;-0,35457680
-41,40699605;-0,39007140
-41,39449205;-0,39007140
-41,38198805;-0,39007140
-41,36948405;-0,42550440
-41,35698005;-0,42550440
-41,34447605;-0,44322100
-41,33197205;-0,44322100
-41,31946805;-0,46099900
-41,30696405;-0,46099900
-41,29446005;-0,47871550
-41,28195605;-0,47871550
-41,26945205;-0,49643210
-41,25694805;-0,49643210
-41,24444405;-0,51414860
-41,23194006;-0,51414860
-41,21943606;-0,53192670
-41,20693206;-0,53192670
-41,19442806;-0,54964320
-41,18192406;-0,54964320
-41,16942006;-0,56735970
-41,15691606;-0,56735970
-41,14441206;-0,58507630
-41,13190806;-0,58507630
-41,11940406;-0,60279280
-41,10690006;-0,60279280
-41,09439606;-0,62057080
-41,08189206;-0,62057080
-41,06938806;-0,63828740
-41,05688406;-0,63828740
-41,04438006;-0,65600400
-41,03187606;-0,65600400
-41,01937206;-0,65600400
-41,00686806;-0,67372050
-40,99436406;-0,67372050
-40,98186006;-0,67372050
-40,96935606;-0,69149850
-40,95685206;-0,69149850
-40,94434806;-0,69149850
-40,93184406;-0,69149850
-40,91934006;-0,69149850
-40,90683606;-0,70921500
-40,89433206;-0,70921500
-40,88182807;-0,70921500
-40,86932407;-0,70921500
-40,85682007;-0,70921500
-40,84431607;-0,70921500
-40,83181207;-0,70921500
-40,81930807;-0,72693160
-40,80680407;-0,70921500
-40,79430007;-0,70921500
-40,78179607;-0,72693160
-40,76929207;-0,70921500
-40,75678807;-0,70921500
-40,74428407;-0,70921500
-40,73178007;-0,70921500
-40,71927607;-0,70921500
-40,70677207;-0,70921500
-40,69426807;-0,70921500
-40,68176407;-0,72693160
-40,66926007;-0,72693160
-40,65675607;-0,72693160
-40,64425207;-0,76242620
-40,63174807;-0,76242620
-40,61924407;-0,78014270
-40,60674007;-0,79785930
-40,59423607;-0,79785930
-40,58173207;-0,79785930
-40,56922807;-0,81557580
-40,55672407;-0,83335380
-40,54422007;-0,83335380
-40,53171608;-0,83335380
-40,51921208;-0,85107030
-40,50670808;-0,85107030
-40,49420408;-0,85107030
-40,48170008;-0,85107030
-40,46919608;-0,85107030
-40,45669208;-0,86878690
-40,44418808;-0,85107030
-40,43168408;-0,86878690
-40,41918008;-0,86878690
-40,40667608;-0,86878690
-40,39417208;-0,86878690
-40,38166808;-0,86878690
-40,36916408;-0,86878690
-40,35666008;-0,86878690
-40,34415608;-0,86878690
-40,33165208;-0,86878690
-40,31914808;-0,86878690
-40,30664408;-0,86878690
-40,29414008;-0,86878690
-40,28163608;-0,86878690
-40,26913208;-0,86878690
-40,25662808;-0,86878690
-40,24412408;-0,86878690
-40,23162008;-0,86878690
-40,21911608;-0,86878690
-40,20661208;-0,86878690
-40,19410808;-0,86878690
-40,18160409;-0,86878690
-40,16910009;-0,88650350
-40,15659609;-0,88650350
-40,14409209;-0,88650350
-40,13158809;-0,88650350
-40,11908409;-0,90422000
-40,10658009;-0,92199800
-40,09407609;-0,92199800
-40,08157209;-0,92199800
-40,06906809;-0,93971460
-40,05656409;-0,95743110
-40,04406009;-0,95743110
-40,03155609;-0,97514760
-40,01905209;-0,99292570
-40,00654809;-0,99292570
-39,99404409;-1,01064200
-39,98154009;-1,01064200
-39,96903609;-1,02835900
-39,95653209;-1,02835900
-39,94402809;-1,04607500
-39,93152409;-1,06385300
-39,91902009;-1,06385300
-39,90651609;-1,08157000
-39,89401209;-1,08157000
-39,88150809;-1,08157000
-39,86900409;-1,09928600
-39,85650009;-1,09928600
-39,84399609;-1,09928600
-39,83149210;-1,11700300
-39,81898810;-1,11700300
-39,80648410;-1,11700300
-39,79398010;-1,13478100
-39,78147610;-1,11700300
-39,76897210;-1,13478100
-39,75646810;-1,13478100
-39,74396410;-1,13478100
-39,73146010;-1,13478100
-39,71895610;-1,13478100
-39,70645210;-1,15249800
-39,69394810;-1,13478100
-39,68144410;-1,15249800
-39,66894010;-1,15249800
-39,65643610;-1,15249800
-39,64393210;-1,15249800
-39,63142810;-1,15249800
-39,61892410;-1,15249800
-39,60642010;-1,15249800
-39,59391610;-1,15249800
-39,58141210;-1,15249800
-39,56890810;-1,17021400
-39,55640410;-1,15249800
-39,54390010;-1,15249800
-39,53139610;-1,15249800
-39,51889210;-1,17021400
-39,50638810;-1,15249800
-39,49388410;-1,17021400
-39,48138011;-1,15249800
-39,46887611;-1,15249800
-39,45637211;-1,17021400
-39,44386811;-1,15249800
-39,43136411;-1,15249800
-39,41886011;-1,15249800
-39,40635611;-1,15249800
-39,39385211;-1,15249800
-39,38134811;-1,13478100
-39,36884411;-1,13478100
-39,35634011;-1,13478100
-39,34383611;-1,11700300
-39,33133211;-1,09928600
-39,31882811;-1,09928600
-39,30632411;-1,08157000
-39,29382011;-1,08157000
-39,28131611;-1,08157000
-39,26881211;-1,06385300
-39,25630811;-1,04607500
-39,24380411;-1,04607500
-39,23130011;-1,06385300
-39,21879611;-1,06385300
-39,20629211;-1,06385300
-39,19378811;-1,08157000
