Temps;Canal o
(ms);(V)

-41,73210004;-1,58526100
-41,71959604;-1,76181100
-41,70709204;-1,76181100
-41,69458804;-1,76181100
-41,68208404;-1,76181100
-41,66958004;-1,76181100
-41,65707604;-1,93774600
-41,64457204;-1,93774600
-41,63206804;-1,93774600
-41,61956404;-2,11429600
-41,60706004;-1,93774600
-41,59455604;-1,93774600
-41,58205205;-2,11429600
-41,56954805;-2,11429600
-41,55704405;-2,29023100
-41,54454005;-2,46678100
-41,53203605;-2,46678100
-41,51953205;-2,46678100
-41,50702805;-2,64271600
-41,49452405;-2,64271600
-41,48202005;-2,64271600
-41,46951605;-2,81926700
-41,45701205;-2,81926700
-41,44450805;-2,99520200
-41,43200405;-2,99520200
-41,41950005;-2,99520200
-41,40699605;-2,99520200
-41,39449205;-3,17113700
-41,38198805;-3,34768700
-41,36948405;-3,34768700
-41,35698005;-3,34768700
-41,34447605;-3,52362200
-41,33197205;-3,52362200
-41,31946805;-3,52362200
-41,30696405;-3,52362200
-41,29446005;-3,70017200
-41,28195605;-3,87610700
-41,26945205;-3,87610700
-41,25694805;-3,87610700
-41,24444405;-3,87610700
-41,23194006;-4,05265800
-41,21943606;-4,05265800
-41,20693206;-4,05265800
-41,19442806;-4,22859200
-41,18192406;-4,22859200
-41,16942006;-4,22859200
-41,15691606;-4,40452800
-41,14441206;-4,40452800
-41,13190806;-4,40452800
-41,11940406;-4,58107800
-41,10690006;-4,58107800
-41,09439606;-4,58107800
-41,08189206;-4,58107800
-41,06938806;-4,75701300
-41,05688406;-4,93356300
-41,04438006;-4,93356300
-41,03187606;-4,93356300
-41,01937206;-4,93356300
-41,00686806;-4,93356300
-40,99436406;-4,75701300
-40,98186006;-4,93356300
-40,96935606;-4,93356300
-40,95685206;-4,93356300
-40,94434806;-4,93356300
-40,93184406;-4,93356300
-40,91934006;-4,93356300
-40,90683606;-4,93356300
-40,89433206;-4,93356300
-40,88182807;-4,93356300
-40,86932407;-4,93356300
-40,85682007;-4,93356300
-40,84431607;-4,93356300
-40,83181207;-4,93356300
-40,81930807;-4,93356300
-40,80680407;-4,93356300
-40,79430007;-4,93356300
-40,78179607;-4,93356300
-40,76929207;-4,93356300
-40,75678807;-5,10949800
-40,74428407;-4,93356300
-40,73178007;-4,93356300
